week_end_num,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73,A74,A75,A76,A77,A78,A79,A80+
2020.0109289617487,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.0300546448088,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.049180327869,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.068306010929,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.0874316939892,-0,-0,-0,-0,1.3000016250112246e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.1440012583770105e-4,-0,-0,-0,-0,-0,-0,-0,9.880009386007336e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1065573770493,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,9.880009386007336e-5,-0,-0,-0,-0,-0,1.0920011466041406e-4,-0,-0,-0,9.880009386007336e-5,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1256830601094,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1448087431695,-0,-0,-0,-0,-0,-0,-0,-0,1.4560020383879417e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.4040018954149187e-4,-0,-0,-0,1.196001375407635e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.0400010399735608e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0
2020.1639344262296,-0,-0,1.3520017575841925e-4,1.3000016250112246e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.4560020383879417e-4,-0,-0,1.4040018954149187e-4,1.4040018954149187e-4,-0,1.2480014975805513e-4,1.2480014975805513e-4,2.3920055016279234e-4,3.432011325633059e-4,1.1440012583770105e-4,5.824032614637801e-4,2.2880050336228263e-4,2.1840045864179126e-4,4.3160179114788905e-4,-0,9.360008424279262e-5,9.880009386007336e-5,-0,2.912008153656445e-4,1.9760037544086007e-4,-0,2.0280039545820006e-4,9.880009386007336e-5,-0,-0,2.9640084474307345e-4,1.0400010399735608e-4,1.0400010399735608e-4,1.0400010399735608e-4,3.2240099944185553e-4,1.0920011466041406e-4,4.3680183457128774e-4,-0,-0,9.360008424279262e-5,8.840007513974057e-5,-0,2.3920055016279234e-4,7.800005849941486e-5,-0,-0,7.280005096214098e-5,-0,1.560002339991807e-4,7.800005849941486e-5,8.320006656246347e-5,-0,-0,9.360008424279262e-5,9.360008424279262e-5,-0,-0,-0,2.0800041600131737e-4,2.1320043705866555e-4,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1.5600002337562476e-5
2020.1830601092897,-0,-0,-0,1.3000016250112246e-4,-0,-0,2.7560073034184584e-4,1.4560020383879417e-4,2.860007865024482e-4,2.912008153656445e-4,1.4040018954149187e-4,5.824032614637801e-4,4.2640174825027215e-4,4.2640174825027215e-4,5.824032614637801e-4,2.860007865024482e-4,2.808007581650308e-4,7.07204809000845e-4,6.916045991804607e-4,5.356027583599094e-4,0.001003609684867492,7.436053167918634e-4,0.0010816112487982198,8.008061662232416e-4,0.0017160283146203095,0.0016224253099669165,6.812044618983496e-4,4.4200187850892194e-4,8.632071646410181e-4,5.200026000149668e-4,3.8480142376654273e-4,6.76004394040201e-4,7.54005466554319e-4,5.772032034858707e-4,0.0010764111408929447,3.016008746405083e-4,2.0280039545820006e-4,9.048078718484659e-4,6.916045991804607e-4,4.940023465146336e-4,2.9640084474307345e-4,5.148025482771891e-4,7.332051691094672e-4,0.0010608108203087946,9.672089950704858e-4,0.0011076117961076025,0.0012012138740764501,8.684072512197225e-4,0.001003609684867492,8.268065731274711e-4,6.188036818867976e-4,0.001331217039648678,8.736073383242176e-4,0.0010868113572177433,9.100079625930854e-4,4.5240196794999024e-4,5.980034385291251e-4,2.2360048073914813e-4,6.968046686044236e-4,4.732021530722362e-4,4.10801622665926e-4,0.00025480062426070645,5.356027583599094e-4,3.692013106681607e-4,6.604041935742898e-4,3.9000146250986754e-4,9.880009386007336e-5,3.068009050637224e-4,2.0800041600131737e-4,1.0400010399735608e-4,3.172009674643959e-4,1.0920011466041406e-4,-0,-0,1.5080021866187252e-4,5.200026000149668e-4,2.6520067626126557e-4,5.252026522785282e-4,1.4040018954149187e-4,2.2880050336228263e-4,1.560002339991807e-4
